dataset,scenario,best_llm_mae,best_mae,best_llm_rmse,best_rmse,best_llm_r2,best_r2
AirPassengers,S1,ClaudeOpus47,60.884350071792596,ClaudeOpus47,77.63291296310015,ClaudeOpus47,-0.20730145380012327
AirPassengers,S2,ClaudeOpus47,27.135377902084343,ClaudeOpus47,33.01592467469486,ClaudeOpus47,0.7903765413201681
AirPassengers,S3,DeepSeekV4Pro,23.052073458780963,DeepSeekV4Pro,29.815725299567447,DeepSeekV4Pro,0.8406060387038332
AirPassengers,S4,ClaudeOpus47,47.7139596597993,ClaudeOpus47,62.570741578298744,ClaudeOpus47,0.21181199171814236
ETTh1,S1,Gemini31Pro,4.216402630236336,Gemini31Pro,5.475047915968697,Gemini31Pro,-1.52440417180081
ETTh1,S2,DeepSeekV4Pro,1.054849022511768,DeepSeekV4Pro,1.4249428386296694,DeepSeekV4Pro,0.7828384268858206
ETTh1,S4,DeepSeekV4Pro,2.657572520882738,DeepSeekV4Pro,3.6015630375540404,DeepSeekV4Pro,-0.0923582214006033
ILINet,S1,KimiK26,0.9454926663564485,ClaudeOpus47,1.3902444905716347,KimiK26,0.16785384431925654
ILINet,S2,Gemini31Pro,0.19521471397009882,Gemini31Pro,0.3371632700699371,Gemini31Pro,0.9507328944559106
ILINet,S3,DeepSeekV4Pro,0.2098846928740549,GPT55,0.3739522800771484,GPT55,0.9399176517450515
ILINet,S4,ClaudeOpus47,0.8818656269561059,ClaudeOpus47,1.3236459888065766,ClaudeOpus47,0.24659139109266492
IceCreamHeater,S1,DeepSeekV4Pro,14.789948773512704,DeepSeekV4Pro,18.294440277786947,DeepSeekV4Pro,-0.14692044219658534
IceCreamHeater,S2,ClaudeOpus47,13.089137131266956,ClaudeOpus47,15.00370842094782,ClaudeOpus47,-0.4811327058066434
IceCreamHeater,S3,ClaudeOpus47,6.824940094565615,ClaudeOpus47,8.826518976262056,ClaudeOpus47,0.7248941993097469
IceCreamHeater,S4,DeepSeekV4Pro,7.028581403070875,DeepSeekV4Pro,9.279384541123413,GPT55,0.6993016371175591
Temperature,S1,KimiK26,2.6990552573008078,KimiK26,3.300101358414095,KimiK26,0.00878607385938753
Temperature,S2,ClaudeOpus47,1.740044977299926,ClaudeOpus47,2.2134593269486724,GPT55,0.7090815969079717
Temperature,S3,Grok43,1.7423537456521951,Grok43,2.2154189569307445,Grok43,0.7085662544514697
Temperature,S4,Gemini31Pro,2.265931882205075,Gemini31Pro,2.9503782718729714,Gemini31Pro,0.48262256421452526
