dataset,scenario,mae_count,mae_mean,mae_std,mae_median,mae_q1,mae_q3,mae_iqr,mae_ci95_low,mae_ci95_high,rmse_count,rmse_mean,rmse_std,rmse_median,rmse_q1,rmse_q3,rmse_iqr,rmse_ci95_low,rmse_ci95_high,smape_count,smape_mean,smape_std,smape_median,smape_q1,smape_q3,smape_iqr,smape_ci95_low,smape_ci95_high,mase_count,mase_mean,mase_std,mase_median,mase_q1,mase_q3,mase_iqr,mase_ci95_low,mase_ci95_high,r2_count,r2_mean,r2_std,r2_median,r2_q1,r2_q3,r2_iqr,r2_ci95_low,r2_ci95_high
AirPassengers,S1,50,147.28232533680793,160.73645745372244,77.79012400696496,21.959840810149878,331.9985144549403,310.0386736447904,102.72845242943131,191.83619824418454,50,160.4985994404156,158.78436939076184,101.90508797688334,26.03914002066169,342.28668136090585,316.24754134024414,116.48581773810176,204.51138114272945,50,54.86826407030654,72.56950096552606,17.917062569495812,4.892850811020417,137.10083534509894,132.20798453407852,34.75302466420804,74.98350347640503,50,6.992996704871347,7.631801811630305,3.693491935357769,1.042657997649765,15.763361369372426,14.72070337172266,4.877569169910525,9.108424239832168,50,-7.267361851790401,12.366315709943162,-0.7011490128783204,-21.122681447575175,0.8889281782913843,22.01160962586656,-10.695129684933862,-3.83959401864694
AirPassengers,S2,52,132.5834990177466,173.920681008534,30.480995967470367,11.49637137855457,401.5688664008831,390.07249502232855,85.31131943504754,179.85567860044563,52,138.3562300917445,174.95541929181763,36.54879478523569,15.014304915841558,408.8095984936226,393.7952935777811,90.80280543994364,185.90965474354533,52,52.194817156425984,74.44826527284461,7.006263288794157,2.595548758638514,167.07434494460793,164.47879618596943,31.959548152243325,72.43008616060864,52,6.295093247823038,8.25779160140478,1.4472442900006754,0.5458502028968018,19.066576747064,18.5207265441672,4.050599923196761,8.539586572449316,52,-7.05361360624446,12.528762791566466,0.7811750983831706,-26.377437058677454,0.9630715496203976,27.340508608297853,-10.458970123925681,-3.648257088563239
AirPassengers,S3,39,36.059021445405264,25.877361341236718,26.035337098333983,24.54014375958736,45.22518967299029,20.68504591340293,27.9373810154433,44.18066187536723,39,45.36802336610809,31.77283455119148,34.54519917741978,30.799771488371483,53.39211577685351,22.592344288482025,35.39608170394801,55.33996502826817,39,8.25921465377905,6.012620954382504,5.802373560782968,5.689449828812727,10.274603756365996,4.58515392755327,6.37214646358715,10.146282843970951,39,1.7120901477618498,1.2286627209083651,1.236163444069169,1.165171340521849,2.147301800383546,0.9821304598616969,1.3264729011913943,2.0977073943323052,39,0.5016970027343849,0.7789041766706623,0.8045093354026089,0.5314914819778706,0.8423657906517565,0.310874308673886,0.25723700664374954,0.7461569988250203
AirPassengers,S4,48,118.79220575512507,148.72085461535764,61.814613967858826,17.856038626157734,82.77586206896552,64.9198234428078,76.71883328644398,160.86557822380615,48,131.61317776757457,147.48760932797794,81.2807696524155,20.452613457823094,104.16831776496282,83.71570430713973,89.88869240322978,173.33766313191936,48,43.25240924940443,68.00174298509465,14.004282329332066,4.154149606320374,18.110620072314184,13.95647046599381,24.014605186678438,62.49021331213042,48,5.640279656844755,7.061298386568416,2.9349712587821344,0.847808581167006,3.930215858334889,3.082407277167883,3.6426268199311176,7.637932493758393,48,-5.3267275536355,11.528630422879456,-0.08224661373942094,-0.7775779937030041,0.931475126572679,1.7090531202756831,-8.58819591387371,-2.06525919339729
ETTh1,S1,5,8.119483253109676,2.189088924991794,8.9928272767965,8.9928272767965,8.9928272767965,0.0,6.2006622082408285,10.038304297978524,5,9.882414092133914,2.471983779304861,10.868166784758564,10.868166784758564,10.868166784758564,0.0,7.7156247743713315,12.049203409896496,5,127.57560771317485,43.58829365976625,146.02467794476388,146.02467794476388,146.02467794476388,0.0,89.36878375576237,165.78243167058733,5,12.3815655045815,3.3381863198940795,13.713345606864706,13.713345606864706,13.713345606864706,0.0,9.455516183707037,15.307614825455964,5,-7.636177270189097,3.437204166792064,-8.947080431534712,-8.947080431534712,-8.947080431534712,0.0,-10.649019560630189,-4.623334979748005
ETTh1,S2,2,1.054849022511768,0.8156327140430165,1.054849022511768,0.7664793109830654,1.3432187340404704,0.576739423057405,-0.07556024668074612,2.185258291704282,2,1.4249428386296694,1.0471224101992722,1.4249428386296694,1.0547291601375157,1.795156517121823,0.7404273569843072,-0.02629478105957217,2.876180458318911,2,18.43526371897651,11.806974636692088,18.43526371897651,14.260867803525237,22.609659634427786,8.348791830902549,2.071631730407514,34.79889570754551,2,1.6085607744398165,1.243774949931138,1.6085607744398165,1.1688199237566832,2.0483016251229493,0.8794817013662661,-0.11522336023806501,3.332344909117698,2,0.7828384268858206,0.25130893722752395,0.7828384268858206,0.6939873000426373,0.8716895537290039,0.1777022536863666,0.43454200966054213,1.131134844111099
ETTh1,S4,1,2.657572520882738,0.0,2.657572520882738,2.657572520882738,2.657572520882738,0.0,2.657572520882738,2.657572520882738,1,3.6015630375540404,0.0,3.6015630375540404,3.6015630375540404,3.6015630375540404,0.0,3.6015630375540404,3.6015630375540404,1,41.72121235840216,0.0,41.72121235840216,41.72121235840216,41.72121235840216,0.0,41.72121235840216,41.72121235840216,1,4.052586503935848,0.0,4.052586503935848,4.052586503935848,4.052586503935848,0.0,4.052586503935848,4.052586503935848,1,-0.0923582214006033,0.0,-0.0923582214006033,-0.0923582214006033,-0.0923582214006033,0.0,-0.0923582214006033,-0.0923582214006033
ILINet,S1,28,0.9918136902698764,0.21403840883960618,0.9089546635127377,0.8762196450988882,1.0098815838277289,0.1336619387288407,0.9125327541570971,1.0710946263826557,28,1.4411887567934545,0.27719409148820845,1.3246768264833337,1.271818548673902,1.4683974765733059,0.1965789278994039,1.3385146284570546,1.5438628851298544,28,46.489711153363764,18.350741396707605,40.97634567590234,39.3699640420181,43.38715996482465,4.01719592280655,39.69250141805527,53.286920888672256,28,4.402889439880225,0.9501658015551696,4.035059133153474,3.8897408457547535,4.483096981404583,0.5933561356498296,4.050943101753159,4.7548357780072905,28,0.07639385314272205,0.3935819119546822,0.24640735251711132,0.07113934269246579,0.3054987947954246,0.23435945210295878,-0.06939092719643515,0.22217863348187927
ILINet,S2,17,0.2058041993318741,0.010702934797014726,0.209876682666402,0.2047674406445967,0.2114371078420453,0.006669667197448603,0.20071634708966862,0.2108920515740796,17,0.3602659192291747,0.02929865792802483,0.3771523328692396,0.3355853357553264,0.3836069303262183,0.04802159457089189,0.3463382213351083,0.3741936171232412,17,8.05618049270453,0.43388044255382163,7.946713134650272,7.946330553353002,8.186928510364913,0.24059795701191078,7.849926822625901,8.262434162783162,17,0.9136122487629214,0.04751279303341755,0.931690940399858,0.9090098381280411,0.9386180272055394,0.029608189077498293,0.8910261006499809,0.9361983968758618,17,0.9439256769146586,0.008798293472409647,0.9389260103317946,0.9368176778185844,0.9516464188199704,0.014828741001385981,0.939743233685754,0.9481081201435632
ILINet,S3,20,0.4663298278643409,0.4883687050439351,0.2325729108850472,0.2137158351916768,0.3375671507208208,0.12385131552914397,0.2522928058422314,0.6803668498864504,20,0.7019619355091901,0.6608537426716664,0.3836272848591164,0.3642569207622824,0.5456885154571098,0.18143159469482745,0.41233001271658615,0.991593858301794,20,19.024078585810486,19.272453132712172,10.654755155970332,8.058671094109213,14.53317281123351,6.474501717124296,10.57755358741754,27.47060358420343,20,2.0701455270761455,2.167981179631463,1.032444725641311,0.9487338228257116,1.4985383421706326,0.549804519344921,1.1199858819233033,3.020305172228988,20,0.610293899537639,0.7095073854496875,0.9368109724397575,0.8411560708625053,0.9430310364291722,0.10187496556666686,0.29933857763452437,0.9212492214407537
