dataset,scenario,branch,llm_version,part0_model,metric,part2_n_runs,part2_mean,part2_std,part0_value,delta_part2_minus_part0,part2_better
AirPassengers,S1,Base,ClaudeOpus47,Naive (Flat),mae,3,21.95984081014988,0.0,81.44827586206897,-59.48843505191908,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Flat),rmse,3,26.03914002066169,0.0,93.13394136662936,-67.09480134596767,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Flat),smape,3,4.892850811020417,0.0,18.057443575330144,-13.164592764309727,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Flat),mase,3,1.042657997649765,0.0,3.867181777707564,-2.824523780057799,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Flat),r2,3,0.8889281782913843,0.0,-0.4209100492493396,1.3098382275407239,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Seasonal),mae,3,21.95984081014988,0.0,64.75862068965517,-42.79877987950529,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Seasonal),rmse,3,26.03914002066169,0.0,75.23388818235092,-49.19474816168923,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Seasonal),smape,3,4.892850811020417,0.0,15.43044131251834,-10.537590501497924,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Seasonal),mase,3,1.042657997649765,0.0,3.0747533355354806,-2.032095337885716,True
AirPassengers,S1,Base,ClaudeOpus47,Naive (Seasonal),r2,3,0.8889281782913843,0.0,0.0727910062494688,0.8161371720419155,True
AirPassengers,S1,Base,ClaudeOpus47,Auto-ARIMA,mae,3,21.95984081014988,0.0,28.5474087597444,-6.5875679495945185,True
AirPassengers,S1,Base,ClaudeOpus47,Auto-ARIMA,rmse,3,26.03914002066169,0.0,35.08281305366807,-9.043673033006378,True
AirPassengers,S1,Base,ClaudeOpus47,Auto-ARIMA,smape,3,4.892850811020417,0.0,6.345217060526792,-1.4523662495063752,True
AirPassengers,S1,Base,ClaudeOpus47,Auto-ARIMA,mase,3,1.042657997649765,0.0,1.3554371506084386,-0.31277915295867365,True
AirPassengers,S1,Base,ClaudeOpus47,Auto-ARIMA,r2,3,0.8889281782913843,0.0,0.7983772938713357,0.09055088442004855,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Flat),mae,2,21.959840810149878,0.0,81.44827586206897,-59.48843505191909,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Flat),rmse,2,26.03914002066169,0.0,93.13394136662936,-67.09480134596767,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Flat),smape,2,4.892850811020417,0.0,18.057443575330144,-13.164592764309727,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Flat),mase,2,1.042657997649765,0.0,3.867181777707564,-2.824523780057799,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Flat),r2,2,0.8889281782913843,0.0,-0.4209100492493396,1.3098382275407239,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Seasonal),mae,2,21.959840810149878,0.0,64.75862068965517,-42.7987798795053,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Seasonal),rmse,2,26.03914002066169,0.0,75.23388818235092,-49.19474816168923,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Seasonal),smape,2,4.892850811020417,0.0,15.43044131251834,-10.537590501497924,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Seasonal),mase,2,1.042657997649765,0.0,3.0747533355354806,-2.032095337885716,True
AirPassengers,S1,Base,DeepSeekV4Pro,Naive (Seasonal),r2,2,0.8889281782913843,0.0,0.0727910062494688,0.8161371720419155,True
AirPassengers,S1,Base,DeepSeekV4Pro,Auto-ARIMA,mae,2,21.959840810149878,0.0,28.5474087597444,-6.587567949594522,True
AirPassengers,S1,Base,DeepSeekV4Pro,Auto-ARIMA,rmse,2,26.03914002066169,0.0,35.08281305366807,-9.043673033006378,True
AirPassengers,S1,Base,DeepSeekV4Pro,Auto-ARIMA,smape,2,4.892850811020417,0.0,6.345217060526792,-1.4523662495063752,True
AirPassengers,S1,Base,DeepSeekV4Pro,Auto-ARIMA,mase,2,1.042657997649765,0.0,1.3554371506084386,-0.31277915295867365,True
AirPassengers,S1,Base,DeepSeekV4Pro,Auto-ARIMA,r2,2,0.8889281782913843,0.0,0.7983772938713357,0.09055088442004855,True
AirPassengers,S1,Base,GPT55,Naive (Flat),mae,3,21.95984081014988,0.0,81.44827586206897,-59.48843505191908,True
AirPassengers,S1,Base,GPT55,Naive (Flat),rmse,3,26.03914002066169,0.0,93.13394136662936,-67.09480134596767,True
AirPassengers,S1,Base,GPT55,Naive (Flat),smape,3,4.892850811020417,0.0,18.057443575330144,-13.164592764309727,True
AirPassengers,S1,Base,GPT55,Naive (Flat),mase,3,1.042657997649765,0.0,3.867181777707564,-2.824523780057799,True
AirPassengers,S1,Base,GPT55,Naive (Flat),r2,3,0.8889281782913843,0.0,-0.4209100492493396,1.3098382275407239,True
AirPassengers,S1,Base,GPT55,Naive (Seasonal),mae,3,21.95984081014988,0.0,64.75862068965517,-42.79877987950529,True
AirPassengers,S1,Base,GPT55,Naive (Seasonal),rmse,3,26.03914002066169,0.0,75.23388818235092,-49.19474816168923,True
AirPassengers,S1,Base,GPT55,Naive (Seasonal),smape,3,4.892850811020417,0.0,15.43044131251834,-10.537590501497924,True
AirPassengers,S1,Base,GPT55,Naive (Seasonal),mase,3,1.042657997649765,0.0,3.0747533355354806,-2.032095337885716,True
AirPassengers,S1,Base,GPT55,Naive (Seasonal),r2,3,0.8889281782913843,0.0,0.0727910062494688,0.8161371720419155,True
AirPassengers,S1,Base,GPT55,Auto-ARIMA,mae,3,21.95984081014988,0.0,28.5474087597444,-6.5875679495945185,True
AirPassengers,S1,Base,GPT55,Auto-ARIMA,rmse,3,26.03914002066169,0.0,35.08281305366807,-9.043673033006378,True
AirPassengers,S1,Base,GPT55,Auto-ARIMA,smape,3,4.892850811020417,0.0,6.345217060526792,-1.4523662495063752,True
AirPassengers,S1,Base,GPT55,Auto-ARIMA,mase,3,1.042657997649765,0.0,1.3554371506084386,-0.31277915295867365,True
AirPassengers,S1,Base,GPT55,Auto-ARIMA,r2,3,0.8889281782913843,0.0,0.7983772938713357,0.09055088442004855,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Flat),mae,3,21.95984081014988,0.0,81.44827586206897,-59.48843505191908,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Flat),rmse,3,26.03914002066169,0.0,93.13394136662936,-67.09480134596767,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Flat),smape,3,4.892850811020417,0.0,18.057443575330144,-13.164592764309727,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Flat),mase,3,1.042657997649765,0.0,3.867181777707564,-2.824523780057799,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Flat),r2,3,0.8889281782913843,0.0,-0.4209100492493396,1.3098382275407239,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Seasonal),mae,3,21.95984081014988,0.0,64.75862068965517,-42.79877987950529,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Seasonal),rmse,3,26.03914002066169,0.0,75.23388818235092,-49.19474816168923,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Seasonal),smape,3,4.892850811020417,0.0,15.43044131251834,-10.537590501497924,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Seasonal),mase,3,1.042657997649765,0.0,3.0747533355354806,-2.032095337885716,True
AirPassengers,S1,Base,Gemini31Pro,Naive (Seasonal),r2,3,0.8889281782913843,0.0,0.0727910062494688,0.8161371720419155,True
AirPassengers,S1,Base,Gemini31Pro,Auto-ARIMA,mae,3,21.95984081014988,0.0,28.5474087597444,-6.5875679495945185,True
AirPassengers,S1,Base,Gemini31Pro,Auto-ARIMA,rmse,3,26.03914002066169,0.0,35.08281305366807,-9.043673033006378,True
AirPassengers,S1,Base,Gemini31Pro,Auto-ARIMA,smape,3,4.892850811020417,0.0,6.345217060526792,-1.4523662495063752,True
AirPassengers,S1,Base,Gemini31Pro,Auto-ARIMA,mase,3,1.042657997649765,0.0,1.3554371506084386,-0.31277915295867365,True
AirPassengers,S1,Base,Gemini31Pro,Auto-ARIMA,r2,3,0.8889281782913843,0.0,0.7983772938713357,0.09055088442004855,True
AirPassengers,S1,Base,Grok43,Naive (Flat),mae,2,21.959840810149878,0.0,81.44827586206897,-59.48843505191909,True
AirPassengers,S1,Base,Grok43,Naive (Flat),rmse,2,26.03914002066169,0.0,93.13394136662936,-67.09480134596767,True
AirPassengers,S1,Base,Grok43,Naive (Flat),smape,2,4.892850811020417,0.0,18.057443575330144,-13.164592764309727,True
AirPassengers,S1,Base,Grok43,Naive (Flat),mase,2,1.042657997649765,0.0,3.867181777707564,-2.824523780057799,True
AirPassengers,S1,Base,Grok43,Naive (Flat),r2,2,0.8889281782913843,0.0,-0.4209100492493396,1.3098382275407239,True
AirPassengers,S1,Base,Grok43,Naive (Seasonal),mae,2,21.959840810149878,0.0,64.75862068965517,-42.7987798795053,True
AirPassengers,S1,Base,Grok43,Naive (Seasonal),rmse,2,26.03914002066169,0.0,75.23388818235092,-49.19474816168923,True
AirPassengers,S1,Base,Grok43,Naive (Seasonal),smape,2,4.892850811020417,0.0,15.43044131251834,-10.537590501497924,True
AirPassengers,S1,Base,Grok43,Naive (Seasonal),mase,2,1.042657997649765,0.0,3.0747533355354806,-2.032095337885716,True
AirPassengers,S1,Base,Grok43,Naive (Seasonal),r2,2,0.8889281782913843,0.0,0.0727910062494688,0.8161371720419155,True
AirPassengers,S1,Base,Grok43,Auto-ARIMA,mae,2,21.959840810149878,0.0,28.5474087597444,-6.587567949594522,True
AirPassengers,S1,Base,Grok43,Auto-ARIMA,rmse,2,26.03914002066169,0.0,35.08281305366807,-9.043673033006378,True
AirPassengers,S1,Base,Grok43,Auto-ARIMA,smape,2,4.892850811020417,0.0,6.345217060526792,-1.4523662495063752,True
AirPassengers,S1,Base,Grok43,Auto-ARIMA,mase,2,1.042657997649765,0.0,1.3554371506084386,-0.31277915295867365,True
AirPassengers,S1,Base,Grok43,Auto-ARIMA,r2,2,0.8889281782913843,0.0,0.7983772938713357,0.09055088442004855,True
AirPassengers,S1,Base,KimiK26,Naive (Flat),mae,3,21.95984081014988,0.0,81.44827586206897,-59.48843505191908,True
AirPassengers,S1,Base,KimiK26,Naive (Flat),rmse,3,26.03914002066169,0.0,93.13394136662936,-67.09480134596767,True
AirPassengers,S1,Base,KimiK26,Naive (Flat),smape,3,4.892850811020417,0.0,18.057443575330144,-13.164592764309727,True
AirPassengers,S1,Base,KimiK26,Naive (Flat),mase,3,1.042657997649765,0.0,3.867181777707564,-2.824523780057799,True
AirPassengers,S1,Base,KimiK26,Naive (Flat),r2,3,0.8889281782913843,0.0,-0.4209100492493396,1.3098382275407239,True
AirPassengers,S1,Base,KimiK26,Naive (Seasonal),mae,3,21.95984081014988,0.0,64.75862068965517,-42.79877987950529,True
AirPassengers,S1,Base,KimiK26,Naive (Seasonal),rmse,3,26.03914002066169,0.0,75.23388818235092,-49.19474816168923,True
AirPassengers,S1,Base,KimiK26,Naive (Seasonal),smape,3,4.892850811020417,0.0,15.43044131251834,-10.537590501497924,True
AirPassengers,S1,Base,KimiK26,Naive (Seasonal),mase,3,1.042657997649765,0.0,3.0747533355354806,-2.032095337885716,True
